EntityName,EntityTypeName,lat,lon
Lægerne Engstien                                            ,General Practitoner,55.4906683744746,9.46561102932725
Lægehuset Zachariassen - Løjt Storegade                     ,General Practitoner,55.0915360321488,9.46249257293958
Lægerne Dorothea                                            ,General Practitoner,55.4894226605811,9.47176551033819
Familielægerne Kolding                                      ,General Practitoner,55.4894226604318,9.47176554911034
Nicolai Lægerne                                             ,General Practitoner,55.4894226603372,9.47176557363967
Lægehuset Centrum                                           ,General Practitoner,55.48966653238,9.47222089397776
Kolding Sønderbro Apotek                                    ,Pharmacy,55.4883769909493,9.4731374429755
Fønix Apoteket - Tørring                                    ,Pharmacy,55.8503955710188,9.48081457461383
Almen lægeklinik Kolding                                    ,General Practitoner,55.4899809514344,9.4768456423341
Lægerne Sundhedshuset                                       ,General Practitoner,55.489980951114,9.47684572462713
Lægehuset Bramdrupdam                                       ,General Practitoner,55.5209540208915,9.47754512633939
Lægehuset Schaumann                                         ,General Practitoner,55.2525828991994,9.47438541351615
Lægehuset i Aalestrup                                       ,General Practitoner,56.695835939982,9.49269043840135
Lægehuset i Tørring                                         ,General Practitoner,55.8491790974856,9.48481142688632
Dine Læger                                                  ,General Practitoner,55.4927886895823,9.48051528009106
Lægerne Sydbyen                                             ,General Practitoner,55.4843756929275,9.48086672153753
"Lægerne Domhusgade 22, 2.sal                                ",General Practitoner,55.4843756929151,9.48086672470219
Lægehuset Klostergården                                     ,General Practitoner,55.4843756929089,9.48086672628453
Sct. Hedvig lægehus                                         ,General Practitoner,55.484375692884,9.48086673261386
Lægerne Platinvej                                           ,General Practitoner,55.4926856088562,9.48261875632663
Lægeklinikken Kolding                                       ,General Practitoner,55.4930133863509,9.48406163827069
Læge Jørgen Graversen                                       ,General Practitoner,55.4930133862789,9.48406165647149
Almen lægeklinik Christiansfeld                             ,General Practitoner,55.3564607024231,9.48314943458972
Lægerne i sundhedscentret                                   ,General Practitoner,55.2562558695393,9.48246417331199
Lægerne Ved Dammen Haderslev                                ,General Practitoner,55.2562558694212,9.48246420320385
Lægerne i Møldrup                                           ,General Practitoner,56.620458708537,9.50205646561126
Lægerne Bispebroen                                          ,General Practitoner,55.2507265639736,9.48483141897183
Haderslev Hjorte Apotek                                     ,Pharmacy,55.2508469399866,9.48518037879019
Almen praktiserende læge Olga Abdi                          ,General Practitoner,55.3555090106282,9.48803146609065
Lægehuset Lindegade                                         ,General Practitoner,55.3555090464477,9.48803149728791
Lægehus Nord                                                ,General Practitoner,55.4973866893732,9.4899138674033
Lægerne Marielund                                           ,General Practitoner,55.4973866893004,9.4899138856061
Midtbyens Lægehus                                           ,General Practitoner,55.251748410289,9.48726134311491
Lægerne Laurids Skaus gade                                  ,General Practitoner,55.2543373519614,9.48741161746989
Lægerne i Viuf                                              ,General Practitoner,55.5815756157293,9.49213543142929
Lægerne Nørregade 22A                                       ,General Practitoner,55.2505013439037,9.48819763760848
